,email,link
0,merchandise@roedean.co.uk,"=HYPERLINK(""https://community.roedean.co.uk/shop"")"
1,info@businessbecause.com,"=HYPERLINK(""https://community.roedean.co.uk/shop"")"
2,museum@horsham.gov.uk,"=HYPERLINK(""https://horshammuseum.org/"")"
3,communications@horsham.gov.uk,"=HYPERLINK(""https://horshammuseum.org/accessibility-statement"")"
4,yoursay@horsham.gov.uk,"=HYPERLINK(""https://horshammuseum.org/accessibility-statement"")"
5,flo@sussexpast.co.uk,"=HYPERLINK(""https://horshammuseum.org/learn/archaeological-finds"")"
6,dpa@horsham.gov.uk,"=HYPERLINK(""https://horshammuseum.org/privacy-statement"")"
7,museum@horsham.hov.uk,"=HYPERLINK(""https://horshammuseum.org/support-us"")"
8,fhmadopt@gmail.com,"=HYPERLINK(""https://horshammuseum.org/support-us/adopt-a-museum-object"")"
9,legaladmin@horsham.gov.uk,"=HYPERLINK(""https://horshammuseum.org/terms-of-use"")"
10,klmurray@standrewsprep.co.uk,"=HYPERLINK(""https://sport.standrewsprep.co.uk/Default.asp"")"
11,hr@mayfieldgirls.org,"=HYPERLINK(""https://www.mayfieldgirls.org/about/staff-vacancies"")"
12,registrar@mayfieldgirls.org?subject,"=HYPERLINK(""https://www.mayfieldgirls.org/admissions/entry-and-assessment"")"
13,Headmistress@mayfieldgirls.org,"=HYPERLINK(""https://www.mayfieldgirls.org/admissions/fees"")"
14,registrar@mayfieldgirls.org,"=HYPERLINK(""https://www.mayfieldgirls.org/admissions/scholarships-and-bursaries"")"
15,registrar@mayfieldgirls.org&nbsp,"=HYPERLINK(""https://www.mayfieldgirls.org/admissions/scholarships-and-bursaries"")"
16,20jattoe@mayfieldgirls.org?subject,"=HYPERLINK(""https://www.mayfieldgirls.org/admissions/school-travel-service"")"
17,jattoe@mayfieldgirls.org,"=HYPERLINK(""https://www.mayfieldgirls.org/admissions/school-travel-service"")"
18,enquiry@mayfieldgirls.org,"=HYPERLINK(""https://www.mayfieldgirls.org/contact-us"")"
19,ENQUIRY@MAYFIELDGIRLS.ORG,"=HYPERLINK(""https://www.mayfieldgirls.org/contact-us"")"
20,bursar@mayfieldgirls.org,"=HYPERLINK(""https://www.mayfieldgirls.org/cookiespolicy"")"
21,mayfieldsparkcamps@mayfieldgirls.org,"=HYPERLINK(""https://www.mayfieldgirls.org/spark/spark-child-page"")"
22,ENQUIRIES@ROEDEAN.CO.UK,"=HYPERLINK(""https://www.roedean.co.uk/about"")"
23,accessibility@yourschool.com,"=HYPERLINK(""https://www.roedean.co.uk/accessibility-statement"")"
24,marketing@roedean.co.uk,"=HYPERLINK(""https://www.roedean.co.uk/information/contact-us"")"
25,schooloffice@roedean.co.uk,"=HYPERLINK(""https://www.roedean.co.uk/information/contact-us"")"
26,dba@roedean.co.uk,"=HYPERLINK(""https://www.roedean.co.uk/information/contact-us"")"
27,minibuses@roedean.co.uk,"=HYPERLINK(""https://www.roedean.co.uk/information/school-transport"")"
28,info@roedean.co.uk,"=HYPERLINK(""https://www.roedean.co.uk/privacy-policy"")"
29,enquiries@roedean.co.uk,"=HYPERLINK(""https://www.roedean.co.uk/privacy-policy"")"
30,dataprotection@roedean.co.uk,"=HYPERLINK(""https://www.roedean.co.uk/privacy-policy"")"
31,jsu@roedean.co.uk,"=HYPERLINK(""https://www.roedean.co.uk/roedean-community/archive"")"
32,alumnae@roedean.co.uk,"=HYPERLINK(""https://www.roedean.co.uk/roedean-community/remembrance"")"
33,hdb@roedean.co.uk,"=HYPERLINK(""https://www.roedean.co.uk/roedean-community/remembrance"")"
34,glc@reodean.co.uk,"=HYPERLINK(""https://www.roedean.co.uk/roedean-community/support-us"")"
35,glc@roedean.co.uk,"=HYPERLINK(""https://www.roedean.co.uk/roedean-community/support-us"")"
36,vacancies@roedean.co.uk,"=HYPERLINK(""https://www.roedean.co.uk/vacancies"")"
37,support@thewebkitchen.co.uk,"=HYPERLINK(""https://www.standrewsprep.co.uk/admissions/open-events-and-personal-visits/"")"
